Skills,Institute,Year,Location,List
Molecular Biology,UEA,2022,"Norwich, UK",PCR
Molecular Biology,UEA,2022,"Norwich, UK",Gel Electrophoresis
Molecular Biology,UEA,2022,"Norwich, UK",Pipetting
Cell Biology,UEA,2022,"Norwich, UK",Microscopy
Reproducible Reports,UEA,2022,"Norwich, UK", Markdown
Reproducible Reports,UEA,2022,"Norwich, UK",Pandoc
Programming,UEA,2022,"Norwich, UK",R
Data Analysis,UEA,2022,"Norwich, UK",Visualisation
Data Analysis,UEA,2022,"Norwich, UK",Data Cleaning
Data Analysis,UEA,2022,"Norwich, UK",Linear Modelling
